final_customer_id,Cashflow_Volatility_Ratio,Partner_Risk_Score,Avg_Payment_Speed_Days,Days_Active_Platform,Default,Loan_Amount_TRAD,Max_Days_in_Arrears_TRAD,Max_Utilization_TRAD,Unique_Loan_Count_TRAD
1,1.488886450367958,0.7256310293120473,18.58923687407434,605,0,18881.0,4,0.9833,1
2,1.0171874526422304,0.7018383145947312,17.61535062674038,545,0,10869.0,8,0.9815,1
3,1.6300539670014096,0.6353267400373953,23.710744536117215,492,1,18387.0,3,0.9825,1
4,2.756103519215133,0.6996210008728319,27.196986848557323,686,0,5141.0,6,1.0,1
5,0.9603168231669492,0.7736262438239415,22.121081664807697,1127,0,9445.0,4,0.9690000000000001,1
6,0.960326282972374,0.681075680653174,24.069262507022778,986,0,10288.0,1,0.9878,1
7,2.850594842886262,0.762965144534541,16.695574606161514,1474,0,10843.0,3,0.9751000000000001,1
8,1.7514794617447689,0.5744996832365429,18.75242883683481,300,0,13981.0,6,1.0,1
9,0.8338642734274421,0.6094159523281443,26.91439244159784,579,0,8052.0,3,0.9712000000000001,1
10,1.5304105399128365,0.5898519245089037,21.16026876154937,468,0,19890.0,4,0.9881,1
11,0.8369000621447076,0.615230294231139,16.547820745423106,675,0,5924.0,2,1.0,1
12,0.8357398887730322,0.8930771570059136,18.19530332872425,155,0,18186.0,3,1.0,1
13,1.2778479359733643,0.808905818966554,24.2229077418273,666,0,18745.0,2,0.9777,1
14,0.3506494940841365,0.5384615321973482,24.757362061944896,481,0,12026.0,2,0.9838,1
15,0.3926052206850174,0.7656247444612682,12.947213150281357,866,0,16294.0,3,0.9799,1
16,0.7886974296573952,0.6414126531027144,20.175547650281224,1152,0,8645.0,3,0.9848,1
17,0.6018791073469,0.5976423121792651,17.95294294468013,1177,0,15581.0,6,0.9879000000000001,1
18,1.334488936633467,0.4771390801416239,17.60678491137775,1236,0,6668.0,5,1.0,1
19,0.6409431950131012,0.8457878040730367,25.981847702584297,835,0,10983.0,4,0.9799,1
20,0.4736047239994083,0.4954205275499291,16.574771160636445,299,0,15600.0,6,0.9728,1
21,2.6628294523512497,0.6922055232985188,14.546537380349273,1000,0,5151.0,4,1.0,1
22,0.965155761013306,0.5580533131412696,13.110052173788915,1219,0,17575.0,2,1.0,1
23,1.1508685553331215,0.8163765920604886,16.95271841276613,937,0,15877.0,5,0.9761,1
24,0.4700816331869972,0.6498472260529073,13.58852238733107,942,0,18406.0,4,0.9814,1
25,0.7972159887464448,0.6798306016719482,12.811309424765684,328,0,16052.0,5,1.0,1
26,1.1812267933905825,0.6848898605604951,12.660179245997432,1010,0,10116.0,4,0.9677,1
27,0.5539969229714805,0.7453855502403675,13.016743775359204,592,0,11431.0,3,0.9649,1
28,1.3846104146481468,0.7019507145974964,13.435005665895956,584,0,9733.0,3,0.9804,1
29,0.7707561646870895,0.6935090216558325,20.394316329951245,1001,0,10038.0,4,0.9906999999999999,1
30,0.9277284107344604,0.6222397037117833,6.240104864357173,674,0,16372.0,3,0.988,1
31,0.7702624582534383,0.463790593998686,13.78948051209886,1448,0,11728.5,0,0.9835499999999999,1
32,3.0,0.5322173560687217,17.399220555850604,393,0,11728.5,0,0.9835499999999999,1
33,1.096257016519038,0.8077719608020968,24.891747721068832,806,0,11728.5,0,0.9835499999999999,1
34,0.5858880448663689,0.6541270805010553,16.524437765540497,661,0,11728.5,0,0.9835499999999999,1
35,1.8103622208307089,0.600398533341628,17.080059792703956,1487,0,11728.5,0,0.9835499999999999,1
36,0.5312586959753975,0.4891407783372932,17.47231977613128,881,0,11728.5,0,0.9835499999999999,1
37,1.2527212148230569,0.4420529289864471,7.057874077333644,268,0,11728.5,0,0.9835499999999999,1
38,0.3410241188863501,0.5945189679807702,21.95455860554959,1146,0,11728.5,0,0.9835499999999999,1
39,0.498121313937753,0.8332079281067886,21.704529421268248,997,0,11728.5,0,0.9835499999999999,1
40,1.243732254339916,0.6164394709566522,22.88697695572004,847,0,11728.5,0,0.9835499999999999,1
41,1.7213002215346345,0.7600728287862171,33.03508831816974,1016,0,11728.5,0,0.9835499999999999,1
42,1.2248531615800071,0.6095410255903063,10.20887038207674,529,0,11728.5,0,0.9835499999999999,1
43,1.031084365575314,0.7958300044043273,9.071840012365955,1373,0,11728.5,0,0.9835499999999999,1
44,0.9225052450859668,0.6472373797286995,22.23520388759393,447,0,11728.5,0,0.9835499999999999,1
45,0.455156849972741,0.5152173631674255,15.975065392885847,765,0,11728.5,0,0.9835499999999999,1
46,0.7175543930901706,0.6596570398150834,12.086230478778358,611,0,11728.5,0,0.9835499999999999,1
47,0.8382966340331218,0.975100062742061,16.304625193074184,1052,0,11728.5,0,0.9835499999999999,1
48,2.083967097734771,0.968482647332628,14.289938249449676,814,0,11728.5,0,0.9835499999999999,1
49,1.3582145057125734,0.7729799954169047,28.348662406783,767,0,11728.5,0,0.9835499999999999,1
50,0.3837269322770542,0.6794411776879445,31.57087382413981,1095,0,11728.5,0,0.9835499999999999,1
51,1.342388354604424,0.7455852703142625,8.186632251939205,1087,0,11728.5,0,0.9835499999999999,1
52,0.8771744687538078,0.7475278508099934,9.14070712040018,263,0,11728.5,0,0.9835499999999999,1
53,0.736273813531982,0.6940169871449348,13.443791972208558,1308,0,11728.5,0,0.9835499999999999,1
54,1.5952106130270594,0.7661416029883925,13.862831749925927,1142,0,11728.5,0,0.9835499999999999,1
55,2.051558428777742,0.7312340293230345,13.348437319809486,277,1,11728.5,0,0.9835499999999999,1
56,1.9324102760891717,0.6526041421953529,16.83459492273892,1300,0,11728.5,0,0.9835499999999999,1
57,0.6679576444728189,0.5207114800924535,15.318991195668357,222,0,11728.5,0,0.9835499999999999,1
58,0.9180279653230922,0.6309911136669751,9.878324442628092,1116,0,11728.5,0,0.9835499999999999,1
59,1.3481834029578958,0.8199278273610395,11.839150554816117,971,0,11728.5,0,0.9835499999999999,1
60,1.984420786358857,0.6952806663256953,27.278032993257384,1049,0,11728.5,0,0.9835499999999999,1
61,0.8290253521524318,0.7450430337381257,15.8553105195919,1463,0,11728.5,0,0.9835499999999999,1
62,0.9886692954894278,0.6575476708443381,15.548214650244065,1153,0,11728.5,0,0.9835499999999999,1
63,0.5690420281493856,0.5410603742484063,8.87737712503516,845,0,11728.5,0,0.9835499999999999,1
64,0.5391702072924022,0.6642055427692265,15.220699636175006,1221,0,11728.5,0,0.9835499999999999,1
